time,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,p,q,r,ctrl_thrust,z_ref
8.912,-1.955236427144405e-18,6.6710424147743315e-18,1.2682531779454826,-8.638900472543274e-19,1.3161161566372867e-18,-0.0004165611014311105,3.3772787447323507e-17,1.502501113824694e-17,3.3843712503958465,1.3910517837144386e-18,-4.455376835053675e-18,0.002949966064327823,0.4948512489307181,1.0
8.92,-1.961983709148883e-18,6.681523806446236e-18,1.2682499340600168,-8.434102505597739e-19,1.3101739589881047e-18,-0.00040548568323355575,3.435436988537034e-17,1.3048807374197356e-17,3.3857211542896852,1.268094547325722e-18,-4.309656910420039e-18,0.0029450334416233023,0.4948465496842235,1.0
8.928,-1.96857673453118e-18,6.691129900457367e-18,1.268246776522153,-8.24128172787164e-19,1.200761751391323e-18,-0.000394692232991159,3.5438773154351753e-17,1.1105233723273413e-17,3.3870685851216455,2.365181304781082e-18,-4.238429516595183e-18,0.0029396380575739526,0.4948419620369332,1.0
8.936,-1.9750211639686546e-18,6.700722906849999e-18,1.2682437031297178,-8.055536796843289e-19,1.1991257990789793e-18,-0.00038417405439856116,3.643811890335612e-17,9.230490106330519e-18,3.388413332526092,2.179713573553388e-18,-4.088215894252587e-18,0.0029337837269039963,0.49483748366241576,1.0
8.944,-1.981324791723664e-18,6.710352216276179e-18,1.268240711732992,-7.879534693761538e-19,1.203663678272501e-18,-0.0003739245907456185,3.731580117514161e-17,7.426706180810047e-18,3.389755187910205,1.914380136602608e-18,-3.933361867864653e-18,0.002927474317297977,0.49483311226879223,1.0
8.952,-1.9874950464632792e-18,6.719998726604872e-18,1.2682378002336092,-7.71281842451899e-19,1.2058137910866508e-18,-0.00036393742284399907,3.80820024042366e-17,5.693002769501804e-18,3.391093944477807,1.6712573768805998e-18,-3.780432355466196e-18,0.0029207137484192833,0.4948288455985218,1.0
8.96,-1.9935393385378884e-18,6.729708972013272e-18,1.2682349665834736,-7.555365093261385e-19,1.2137806760500019e-18,-0.00035420626696665297,3.8702721482940976e-17,4.0311051352398614e-18,3.392429397252737,1.3539517198383354e-18,-3.623745931398021e-18,0.0029135059909260468,0.49482468142938896,1.0
8.968,-1.9994655494673842e-18,6.739399137739675e-18,1.2682322087836917,-7.407763661869687e-19,1.2112707158004108e-18,-0.0003447249727280727,3.923274107569419e-17,2.4371652406548764e-18,3.393761343101768,1.1561593493622868e-18,-3.475461088531924e-18,0.002905855065484726,0.49482061757377915,1.0
8.976,-2.0052806383522605e-18,6.749117854282728e-18,1.2682295248835236,-7.268861106095266e-19,1.214839567881605e-18,-0.0003354875210080116,3.9637309897978535e-17,9.127213831472152e-19,3.395089580757085,8.825475387686474e-19,-3.323826124019538e-18,0.0028977650417814855,0.49481665187912094,1.0
8.984,-2.0109937347969947e-18,6.757967058799876e-18,1.2682269129793489,-7.141370555917806e-19,1.1061505646434721e-18,-0.00032648802184867266,4.052383016700328e-17,-5.802566042207489e-19,3.3964139108382905,1.9340788148729803e-18,-3.2551515593297287e-18,0.0028892400375316136,0.49481278222770875,1.0
